,tier,leagueId,queue,name,entries,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
23,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '8-NdKptiiQuQhub3FTl3DoguHNiRvn5da6iNQ6-PP3bsEcOqEu7SPenLBQ', 'summonerName': 'jasper MP5 KING', 'leaguePoints': 1317, 'rank': 'I', 'wins': 553, 'losses': 461, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",8-NdKptiiQuQhub3FTl3DoguHNiRvn5da6iNQ6-PP3bsEcOqEu7SPenLBQ,jasper MP5 KING,1317,553,461,True,False,False,False
24,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'gAXjlaPKRjcRiC3DntKRGG6J38qMPrjPOW2o2PA7y9vd66A', 'summonerName': 'zzzusss', 'leaguePoints': 1307, 'rank': 'I', 'wins': 368, 'losses': 301, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",gAXjlaPKRjcRiC3DntKRGG6J38qMPrjPOW2o2PA7y9vd66A,zzzusss,1307,368,301,True,False,False,False
25,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'jy0ZqWLprqgFqm4dGBunFtSVO04raD3aUJHU9sTUXtalUrY', 'summonerName': 'KT Rebel', 'leaguePoints': 1303, 'rank': 'I', 'wins': 503, 'losses': 437, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",jy0ZqWLprqgFqm4dGBunFtSVO04raD3aUJHU9sTUXtalUrY,KT Rebel,1303,503,437,True,False,False,False
26,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '9GXm9VR7zAax592WBBtmxZjxFiKhKgsFxidw3XS2S2F7AN0', 'summonerName': 'Liiv gyuvee', 'leaguePoints': 1268, 'rank': 'I', 'wins': 364, 'losses': 295, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",9GXm9VR7zAax592WBBtmxZjxFiKhKgsFxidw3XS2S2F7AN0,Liiv gyuvee,1268,364,295,True,False,False,True
27,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'dXsFL0Swv-02poG8RNABI0Qf8HKW0Lg4oMVKnXMeq9bTYlg', 'summonerName': 'AF Keine', 'leaguePoints': 1264, 'rank': 'I', 'wins': 761, 'losses': 699, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",dXsFL0Swv-02poG8RNABI0Qf8HKW0Lg4oMVKnXMeq9bTYlg,AF Keine,1264,761,699,True,False,False,False
28,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'cAe7zjhck2kkEw_3q25NuJR3Q4U3pSFfMRr8FxAVVvsVD_7HiWlKMD6bqQ', 'summonerName': 'mnbvcxzs', 'leaguePoints': 1261, 'rank': 'I', 'wins': 427, 'losses': 353, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",cAe7zjhck2kkEw_3q25NuJR3Q4U3pSFfMRr8FxAVVvsVD_7HiWlKMD6bqQ,mnbvcxzs,1261,427,353,True,False,False,False
29,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'W3Cu3-GWQOPOQZJPCIHCpu6W3h4ES4siG0_YxKRm84XlMa8', 'summonerName': '쭌 베', 'leaguePoints': 1260, 'rank': 'I', 'wins': 910, 'losses': 836, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",W3Cu3-GWQOPOQZJPCIHCpu6W3h4ES4siG0_YxKRm84XlMa8,쭌 베,1260,910,836,True,False,False,False
30,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'JQM-NJAgeSlLpaOaBDBM5-JqBohKi3TaLFsn06dhZyegY-Zb-vj4bp2igg', 'summonerName': 'wdrddrd', 'leaguePoints': 1258, 'rank': 'I', 'wins': 297, 'losses': 221, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",JQM-NJAgeSlLpaOaBDBM5-JqBohKi3TaLFsn06dhZyegY-Zb-vj4bp2igg,wdrddrd,1258,297,221,True,False,False,False
31,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '7FuPneRVJLC73c-U2me2Tt5BtAsE3PYWwYCXdWLEPF2QQ3w', 'summonerName': '난 워낙 노빠꾸라', 'leaguePoints': 1254, 'rank': 'I', 'wins': 441, 'losses': 363, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",7FuPneRVJLC73c-U2me2Tt5BtAsE3PYWwYCXdWLEPF2QQ3w,난 워낙 노빠꾸라,1254,441,363,True,False,False,False
32,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'a7EcYLAfuNaID8g1dBZgzTkcAU7TLmBbrLqH6Y5bdSNcALWpPssnTVR-AQ', 'summonerName': 'a little story', 'leaguePoints': 1246, 'rank': 'I', 'wins': 1092, 'losses': 983, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",a7EcYLAfuNaID8g1dBZgzTkcAU7TLmBbrLqH6Y5bdSNcALWpPssnTVR-AQ,a little story,1246,1092,983,True,False,False,False
